Metabolite,KEGG,l20t14,l20t16,l20t20,l20t24,l20t28,l20t32,l20t36,l20t40,l20t44,l20t48,l20t52,l20t56,l20t60,l20t64,l20t68,l20t72
Alanine,C00041,0.002411338,-0.129990234,-0.095648412,-0.126581548,-0.180581362,-0.143584435,-0.048728729,-0.051645387,-0.107293271,-0.092543265,-0.185351462,-0.155384504,-0.093315617,-0.088646478,-0.055484578,-0.152517887
Valine,C00183,-0.02464442,-0.052107675,-0.104578471,-0.077928503,-0.09395269,-0.10583409,-0.043945064,-0.074968789,-0.083117649,-0.113424773,-0.118174002,-0.098865386,-0.06959902,-0.032045011,-0.082937197,-0.06934225
Leucine,C00123,0.084502322,-0.066592351,-0.13747172,-0.10651234,-0.134989755,-0.056948723,-0.008186996,-0.094932776,-0.131294671,-0.123822975,-0.137252342,-0.060476382,-0.017448842,-0.045133696,-0.069982821,-0.082711114
Isoleucine,C00407,0.124181185,0.042868159,-0.030605254,-0.015310487,-0.084417874,-0.011669883,0.0529301,0.006355749,-0.064024379,-0.018354713,-0.031975876,0.014880311,0.077697949,0.039135086,0.001911899,-0.023667328
Glycine,C00037,-0.171878768,-0.180146018,-0.023926486,-0.346457,-0.135743638,-0.041107271,-0.320119146,-0.28052362,-0.191380548,0.05692718,-0.155316076,-0.036205056,-0.226024529,-0.294726269,-0.095770573,-0.118146941
Proline,C00148,-0.190585255,-0.104202925,-0.241594044,0.16501273,-0.046683789,-0.029265443,-0.023877042,-0.193708305,-0.075486521,0.028506546,0.110364506,-0.061297366,-0.015137639,-0.173982106,-0.107206261,0.002001729
Threonine,C00188,-0.115466506,-0.17911074,-0.120908702,-0.074029923,-0.152801912,-0.082823837,0.005714625,-0.061740568,0.016027029,-0.004733008,-0.036289602,0.007959431,-0.003929128,-0.042337596,-0.004830398,-0.010168473
beta-alanine,C00099,-0.050454212,-0.079705746,-0.170798973,-0.136056544,-0.175552629,-0.071712394,-0.027938526,-0.065432476,-0.101732095,-0.147061051,-0.142681598,-0.069075744,0.000277869,-0.015261276,-0.034323626,-0.10728676
Homoserine,C00263,-0.253916675,-0.192870949,-0.098054003,-0.065842334,0.014951179,0.057227664,-0.039519757,-0.018073705,0.071673871,0.00887992,-0.011109366,0.052293841,-0.035209528,-0.075798175,0.01776521,0.044021718
O-acetyl-serine,C00979,-0.207803676,-0.263163283,-0.115429846,-0.126683563,-0.042583132,-0.088421802,-0.227924365,-0.177254981,-0.143909812,-0.068897277,-0.103081547,-0.082921828,-0.177467889,-0.240677448,-0.096906906,-0.088638526
Aspartic acid,C00049,-0.199690288,-0.108640422,-0.113293402,-0.049098058,-0.021215224,-0.004811297,-0.041762923,-0.009154536,-0.046292137,-0.098684132,-0.100620259,-0.058493049,0.000584491,-0.061941229,-0.11515659,-0.101330911
Serine,C00065,0.076316418,0.06898399,-0.059420091,0.03322273,0.031072487,0.157383486,-0.032908088,-0.063693426,0.096410422,-0.117925476,-0.123110037,-0.136834413,-0.059623231,-0.078910502,-0.093546149,-0.112252507
Methionine,C00073,-0.116711725,-0.082329015,-0.026097607,-0.013678065,-0.021612365,0.000220071,-0.037438501,-0.071322849,-0.032215288,-0.020988455,-0.057552107,-0.011889013,-0.05365859,-0.076784031,-0.052692774,-0.045624651
Glutamine,C00064,-0.163058882,-0.115537959,-0.128281074,-0.045180506,-0.146838427,-0.021704471,-0.05625251,-0.128658699,0.043643941,-0.057893147,-0.078056892,-0.188637977,-0.028452433,0.059183293,0.029261649,-0.157562619
Phenylalanine,C00079,-0.066970564,0,-0.00000201,-0.114717026,-0.227488898,-0.276713289,-0.255172166,-0.07088626,-0.022554271,-0.093214962,-0.2831951,-0.260908075,-0.208205015,-0.094073865,-0.061666681,-0.113424343
Asparagine,C00152,-0.032556752,-0.117278588,-0.026895259,-0.009460605,-0.147852547,-0.118304377,-0.024095218,-0.016024325,-0.123982252,-0.172347741,-0.100681469,-0.04581428,0.030547199,0.000548467,0.038683277,-0.102651956
Ornithine,C00077,-0.178305869,-0.189630378,-0.100631673,-0.098162832,0.025087802,0.02110839,0.005361899,-0.121169211,-0.028967778,-0.00834397,-0.001469155,0.011243421,0.019993806,-0.04118644,-0.055390796,-0.008342659
Arginine,C00062,-0.199897061,-0.260525578,-0.127661736,-0.074888096,-0.020850986,-0.035121024,-0.052873939,-0.075943064,-0.064019786,0.013014469,-0.024746412,0.031479588,0.032285793,-0.009263741,0.043639155,-0.026678431
Lysine,C00047,0.202588924,0.092859755,0.022211224,0.022911583,0.034207738,0.078042554,0.081045537,0.073859851,0.026330079,0.008588091,0.000602206,0.076251039,0.107420232,0.057413792,0.074925657,0.013720903
Tyrosine,C00082,0.101342171,-0.003148591,-0.147830217,-0.20602037,-0.268730609,-0.228179788,-0.17491159,-0.070368238,-0.218355804,-0.123146857,-0.267642235,-0.167036897,-0.086747805,-0.17725058,-0.122110076,-0.203452619
Succinic acid,C00042,0.154112525,0.074777484,0.100961989,0.087636725,0.120520421,0.115664748,0.096989406,0.057838503,0.095249108,0.052981571,0.112364197,0.072985624,0.057620109,0.04422035,0.077328905,0.077549754
Citramalic acid,C02614,0.068964619,0.024522178,0.043761997,-0.002867664,0.050869684,-0.011497444,0.054758454,0.087878001,0.068502949,0.037075986,0.030090381,0.027062759,0.011348189,0.053598952,0.045993244,0.045555295
Malic acid,C00149,0.043507956,0.042422867,0.061695899,0.001467204,0.001058132,0.062439919,0.015308305,0.053280526,-0.0000367,0.006967503,0.084656826,0.021359331,0.033721768,0.111970365,0.100211881,0.05711649
2-Oxoglutaric acid,C00026,0.057734354,0.003003215,0.043786593,0.018439524,0.085072382,0.033707953,0.083762704,0.013292019,0.048585906,-0.062312454,0.003784249,0.011605318,0.076577031,0.093190345,0.127365945,0.09038347
Citric acid,C00158,-0.047073751,-0.057515887,0.057950695,-0.018236867,0.063221268,-0.048381173,-0.082296469,-0.019504089,-0.068563986,-0.045452729,-0.071518269,-0.132826607,-0.01706583,0.021890878,-0.067960374,0.026324454
Pyruvic acid,C00022,0.063937534,0.018948227,0.023069882,0.0399948,0.068174456,0.03998074,0.062723061,0.080641784,0.044482322,0.019900716,0.024385666,0.06280596,0.033964404,0.033373817,0.080034169,0.043874249
Ethanolamine,C00189,0.177696757,0.060714217,0.038551212,-0.055257351,0.00527906,-0.086763406,-0.085998056,-0.046692702,-0.083112976,-0.090136728,-0.090270154,-0.079245915,-0.049502764,-0.043962345,-0.079756143,-0.105307619
Glycerol,C00116,0.006786334,0.009548756,0.01377207,0.019950358,0.015646511,0,0.117959817,0.074151677,0.048139587,-0.005297407,0.057951108,0.065567663,0.065132217,0.083892175,0.168602422,0.03823693
Benzoic acid,C00180,-0.026391262,-0.024995129,0,0.022172999,-0.014682637,0.01090154,-0.015869025,0.022046058,-0.03166948,-0.0000293,0.011119139,0.019753082,-0.000410389,-0.023703977,-0.017999303,-0.033849288
Nicotinic acid,C00253,0.114394018,0.073390949,-0.004550428,0.011987869,0.000305693,0.043199633,0.090584255,0.100430751,0.029165797,0.019787947,0.023670369,0.068107494,0.076259889,0.048625656,-0.01265165,0.030783774
Uracil,C00106,0.065449747,0.026655052,-0.008848989,0.055448657,0.007203319,0.107986495,0.018235493,0.123006187,0.057235449,0.052954139,0.088575886,-0.079992555,-0.056304906,0.007259987,-0.03757386,0.028505037
4-Aminobutyric acid,C00334,0.005270544,-0.103192696,-0.115565885,-0.082695575,0.01946951,-0.171569472,-0.144493534,-0.125401919,-0.104971493,-0.099932598,-0.088086451,-0.166397981,-0.111927107,-0.059884409,0.034073475,0.011008601
Pyroglutamic acid,C01879,0.028606139,-0.058778001,-0.004278135,-0.009859857,-0.006872824,0.00034419,-0.027998653,-0.026500011,-0.02454263,-0.106267722,-0.030827957,-0.038088746,-0.040508928,-0.02508985,0.038507691,-0.00459637
4-hydroxy-benzoic acid,C00156,0.034863166,0.079785189,0.021583132,0.056812637,0.023229109,0.081353421,-0.025454037,0.071408438,0.042192634,0.072986462,0.053655838,-0.055996774,0.008209552,-0.031132144,-0.016556329,0.071768
Dehydroascorbic acid dimer,C05422,-0.032321017,0.023904536,-0.018195408,0.003497799,-0.015707718,-0.02613267,-0.023051373,0.00498764,0.015422117,0.014041051,-0.012726367,-0.004189266,-0.008379379,0.033373817,0.030975031,0.049083894
Gluconic acid,C00257,-0.000395598,-0.030368803,-0.023988934,0.022202048,0.022182377,-0.011018697,0.018595813,-0.002132371,-0.009123807,0.044412905,0.008878749,-0.00139705,-0.009898274,0.00614632,-0.014328199,-0.028683997
myo-Inositol,C00137,-0.043802148,0.102360619,-0.024810435,0.092933699,0.089620974,0.038847326,0.058332958,0.086870159,0.042783055,0.089586247,0.065684521,0.045809343,0.044783948,-0.048925776,-0.015628599,-0.021909791
4-Hydroxycinnamic acid,C00811,0.002116273,0.004911791,0.053771203,0.071265064,0.045749126,0.06893281,0,0.087688173,0.072460777,0.007305571,0.060977297,-0.027279705,-0.00754179,0.053216498,0.006803678,0.01222093
Indole-3-acetonitrile,C02938,0.10122725,-0.001565283,-0.044827734,0.130296108,0.062302393,0.042174065,-0.007705722,-0.001115082,0.110059447,0.082271489,0.059799751,0.046211906,0.010961117,0.0000499,-0.104101579,0.117089088
Uric acid,C00366,0.120047827,0.060674643,0.059723587,0.030101651,0.01031946,-0.039543849,-0.03182172,-0.0440536,-0.015416592,0.003307777,-0.14659031,-0.098840853,-0.152683449,-0.104656532,-0.124026365,-0.11981249
Putrescine,C00134,-0.200911753,-0.186096007,-0.079887101,-0.045540315,-0.05151923,-0.144294098,-0.156065246,-0.23562108,-0.128860335,-0.003475002,-0.09833949,-0.100755953,-0.115285077,-0.085297935,-0.13049746,-0.072770719
Spermidine,C00315,-0.002864759,0.011904341,0.018313526,0.075132533,-0.056039666,0.028755969,0.00551568,-0.008390426,0.011507268,0.082056074,0.069794061,0.095726496,0.043125657,0.083528191,0.068425084,0.071768
Starch,C00369,21.15294,18.88892,14.67614,13.55072,21.45348,19.43334,23.13274,29.8591,29.59906,31.90596,23.94212,23.97256,25.9468,29.63334,16.31378,18.71998
Maltose,C00208,-0.480794112,-0.318004082,0.033178023,0.035750919,-0.189242029,-0.298952947,-0.405487526,-0.180626338,0.117351364,0.13569875,-0.074046785,-0.142263819,-0.158619445,0.073377404,0.13389831,0.157407752
Xylose,C00181,0.04368439,0.042857688,-0.021940759,0.013424952,-0.045666107,-0.063003497,-0.039065954,-0.065321082,-0.087991,-0.058743227,-0.102633321,-0.037566858,-0.063281664,-0.109737479,-0.127232076,-0.054928546
Fucose,C01019,-0.025635465,0.012731106,0.00134947,-0.003417656,0.007777789,0.011035643,-0.054084902,-0.046262549,-0.042247912,0.001566961,-0.030399589,-0.010908714,-0.068536214,-0.081117726,-0.042236639,-0.036178742
Fructose,C00095,0.269188346694907,0.57936128244059,0.602174810264815,0.558463802250273,0.486346044364982,0.310226946418049,0.251212484745913,0.432107900109819,1.42990776871132,0.53676628957591,0.478707509776399,1.34889143196963,2.10978912781325,0.384548015248506,0.592696479290169,0.492194308127383
Glucose,C00031,1.21550514748667,1.58513827945203,2.07162968293235,2.19181106808454,1.98592042404777,1.57451307589515,1.31282119795426,1.99517166148318,3.84706351710545,2.42155291024688,1.98483753272484,4.90414005043744,6.24100300737105,1.62382726279653,2.0972948586483,2.2237563526745
Trehalose,C01083,-0.174359668,-0.07232161,-0.050877942,-0.04019112,-0.013000551,-0.056473333,0.009222278,-0.037557145,-0.06207938,0.054052389,-0.02284198,0.019360783,0.02353838,-0.044639419,-0.054410341,-0.057451533
Galactinol,C01235,-0.15197863,0.356813819,-0.016400532,0.057278372,-0.192349316,-0.246047159,-0.112739934,-0.233436249,-0.372223502,-0.079225384,-0.179571184,-0.209474506,-0.153377726,-0.152718179,-0.204343299,-0.31477031
Raffinose,C00492,-0.073940694,0.306564796,-0.064796051,-0.158582862,-0.197580601,-0.309738578,-0.20718592,-0.243165116,-0.60284179,-0.287425667,-0.346254904,-0.252744073,-0.26838315,-0.403905826,-0.236334109,-0.055051164