Metabolite,KEGG,ld4t14,ld4t16,ld4t20,ld4t24,ld4t28,ld4t32,ld4t36,ld4t40,ld4t44,ld4t48,ld4t52,ld4t56,ld4t60,ld4t64,ld4t68,ld4t72
Alanine,C00041,-0.051006717,0.188267077,0.092769209,0.017858019,0.205894035,0.339630558,0.375218581,0.425141716,0.264843019,0.266916293,0.228451577,0.288984193,0.325800536,0.347316767,0.319350234,0.174589258
Valine,C00183,-0.02540285,0.01977282,0.091974036,0.047662326,0.021112604,0.050439085,0.122643944,0.129865279,0.133466946,0.110524437,0.061266726,0.029437637,0.101993264,0.121741497,0.1394358,0.135033625
Leucine,C00123,-0.005917869,0.009243922,-0.031372981,-0.130575289,-0.045458014,-0.025286821,0.051871207,0.036634018,-0.00780687,-0.075685457,-0.028459716,-0.007244425,0.050013728,0.071832276,-0.002456078,0.024255493
Isoleucine,C00407,0.079869595,0.019900839,-0.05078225,-0.113947272,-0.058321017,-0.051106804,0.002393713,-0.043564722,-0.12703447,-0.194940397,-0.082758219,-0.095553302,-0.075575992,-0.060228393,-0.173978844,-0.106302328
Glycine,C00037,-0.056154944,-0.178620062,-0.448302903,-0.679080534,0.039368699,0.477500875,0.584979073,0.718091695,0.579648445,0.554302573,0.68376878,0.733157912,0.761414505,0.773613181,0.73796288,0.612377847
Proline,C00148,-0.233264848,-0.11654777,-0.123757542,-0.247222359,-0.266571062,-0.227909577,0.069587568,0.144460114,0.267362974,0.299879227,0.434684145,0.408461606,0.500744006,0.441031747,0.481836048,0.441479621
Threonine,C00188,-0.003239211,-0.01299753,-0.042438029,-0.074259295,-0.026572333,-0.113953457,-0.003377172,-0.041556624,-0.009864567,-0.126591092,-0.04985711,-0.037002549,-0.044968824,-0.018264817,0.010739063,-0.02754141
beta-alanine,C00099,-0.034020841,0.000948879,0.073321049,0.0243468,-0.019577865,-0.045734816,0.044939571,0.074714204,0.117350712,0.067959248,0.034371926,0.010942574,0.13324043,0.15796113,0.128448143,0.127383784
Homoserine,C00263,-0.046965181,-0.209561143,-0.442411216,-0.453335564,-0.088027938,-0.01739403,0.027258328,0.056535843,-0.09723876,-0.039449983,0.210658894,0.169550005,0.233846026,0.217741724,0.129812013,0.149683933
O-acetyl-serine,C00979,-0.216064663,-0.10926728,0.46179001,0.367502836,-0.019376793,-0.033691754,0.039700792,0.155839166,0.426781723,0.388326116,0.181358221,0.117283212,0.158973738,0.192708078,0.374505934,0.489705418
Aspartic acid,C00049,0.011573637,0.028806681,0.036894294,-0.005288447,0.049541735,0.055304314,0.030383492,0.062316962,0.014179922,0.039461078,0.095642944,0.112847883,0.139926441,0.171048841,0.040519916,0.079484162
Serine,C00065,0.141214492,0.024941139,-0.166896453,0.081959553,-0.09835192,-0.198281319,0.066332033,-0.064559366,0.001206228,0.005683092,0,-0.064640054,0.062327836,-0.002564199,-0.011273338,-0.04296489
Methionine,C00073,-0.041272329,-0.056981118,-0.134167445,-0.175442467,-0.044521817,0.061146533,0.102269043,0.159328506,0.058379178,0.01893874,0.208251035,0.170191747,0.245221012,0.223054061,0.107163843,0.030666907
Glutamine,C00064,-0.206238287,-0.067766846,-0.044698683,-0.058184252,-0.050153674,0.070700843,0.198880842,0.200018203,0.28170702,0.17797713,0.27848008,0.339875369,0.315329116,0.407502205,0.353087116,0.275040152
Phenylalanine,C00079,-0.010356598,0.00053523,-0.015293572,-0.133394392,0.005405831,0.020387505,0.147718385,0.314285401,0.042378367,0.035903005,0.256755852,0.237541839,0.199158744,0.386583709,0.22194195,0.178951519
Asparagine,C00152,0.024215792,-0.136776356,0.12271526,-0.211717321,0.026839058,0.03059015,0.012505417,0.126124356,0.129619993,0.121168516,0.225728951,0.107202403,0.218439707,0.284846494,0.267307691,0.290586138
Ornithine,C00077,-0.15980077,-0.137599364,-0.229656919,0.002018635,0.002414136,0.147140917,0.066156414,0.172278908,0.117859031,-0.029741626,0.241842106,0.236935114,0.249521716,0.309029038,0.122038659,0.212756345
Arginine,C00062,-0.124448932,-0.052380536,-0.135135487,-0.176659656,0.028386729,0.213519062,0.271576818,0.378680762,0.377821011,0.240875001,0.425299543,0.392948094,0.434086633,0.548584494,0.518188598,0.362427864
Lysine,C00047,0.120359643,0.015832095,-0.028485115,-0.131023683,-0.078945895,-0.124010843,-0.062593395,-0.089413472,-0.173564172,-0.243895211,-0.092688136,-0.111136859,-0.063452986,-0.011010594,-0.168443349,-0.181552487
Tyrosine,C00082,0.069719361,0.072613653,0.012722185,-0.111481309,-0.092131727,-0.033148709,0.053395196,0.131302086,0.062207564,0.10496891,0.093149166,0.101572876,0.20751513,0.295477348,0.178394388,0.132057987
Succinic acid,C00042,0.001524431,-0.130121996,-0.124980263,-0.152752846,-0.208614424,-0.236889607,-0.236923781,-0.269752721,-0.164927378,-0.150294532,-0.133820824,-0.163757288,-0.146740363,-0.141381093,-0.158964119,-0.081558095
Citramalic acid,C02614,0.048885978,-0.057773417,0.034366169,-0.042194619,-0.014316491,-0.020274493,-0.010560698,-0.007919212,0.000515204,0.010744405,-0.011332579,-0.052780183,0.01782866,-0.031987691,0.008279181,-0.022668476
Malic acid,C00149,0.051942609,-0.017589268,-0.00251774,-0.06205114,-0.035593867,-0.040154193,-0.04894792,-0.075013011,-0.043127698,-0.056747814,-0.03688548,-0.046504811,-0.069729098,-0.082373487,-0.052999334,-0.069715721
2-Oxoglutaric acid,C00026,-0.099697509,-0.147331757,-0.124920994,-0.315370062,-0.160487902,-0.218258647,-0.020255952,-0.020818668,-0.039039875,-0.017371968,0.075692762,0.052886135,0.100807186,0.225487399,0.046978665,0.003563605
Citric acid,C00158,0.086451859,0.043751622,0.223204013,0.077186792,0.225278443,0.28688231,0.219405548,-0.662374458,0.286735905,-0.948667745,-0.964419049,NA,-1.017002297,-0.928743562,-0.949328974,-0.91713049
Pyruvic acid,C00022,-0.074725735,0.072198027,-0.106665249,-0.272444285,-0.039300781,-0.005345797,0.018117604,0.125661404,-0.070079818,-0.05825862,-0.049586376,-0.071384292,-0.09071581,0.117969375,0.007028252,-0.162291479
Ethanolamine,C00189,0.089961397,0.035903293,0.050119122,0.052707628,0.07532539,-0.010010817,-0.006049337,-0.060640574,-0.06283467,-0.039590873,-0.07447388,-0.088957736,-0.056883469,-0.09479768,-0.108202245,-0.160347399
Glycerol,C00116,0.110791298,0.065281357,0.08810195,-0.029511206,-0.0247398,-0.010014416,-0.027121708,-0.041583143,-0.082197118,-0.094177185,-0.07557798,-0.068870193,-0.01839117,-0.100526359,-0.085775094,-0.068297123
Benzoic acid,C00180,-0.027242919,0.001231875,-0.012368608,-0.007802013,0.010537482,-0.038428328,-0.033440889,0.042332456,-0.012675501,0.043267585,0.043056808,0.034209468,0.060366645,-0.007050389,0.001374586,0.042561131
Nicotinic acid,C00253,0.005262618,0.06452525,-0.070084975,0.055051495,0.017618574,-0.029322962,-0.171264447,-0.011042746,-0.055639268,-0.089295251,-0.10514608,-0.012491649,-0.043985357,-0.087629811,-0.098726098,-0.134719722
Uracil,C00106,-0.336039629,0.059462024,-0.345022874,0.073330734,-0.128095843,-0.260479367,-0.424565056,-0.048756888,-0.116024176,-0.302419507,-0.18105025,-0.092580563,-0.072320914,-0.112188913,-0.168517546,-0.284602175
4-Aminobutyric acid,C00334,-0.111488032,-0.084570183,0.022364958,0.037312905,0.039807184,-0.014108115,0.160836823,0.178810454,0.216310255,0.201141115,0.208611169,0.105572931,0.119667112,0.209576124,0.175650592,0.088233471
Pyroglutamic acid,C01879,0.000492669,0.031956319,0.1087458,0.083150829,-0.053124217,0.081433341,0.026507431,0.078915372,0.142391791,0.230534697,0.142890186,0.142794909,0.203833059,0.219211135,0.206162729,0.256773261
4-hydroxy-benzoic acid,C00156,-0.113116968,0.056743958,-0.227624089,0.075946084,-0.032200077,-0.058590262,-0.177009552,-0.053332026,0.00918238,-0.134387656,-0.061549882,0.018666697,-0.017068663,0.032615725,-0.066622801,-0.18269353
Dehydroascorbic acid dimer,C05422,-0.003217519,-0.008676385,-0.002094018,-0.004315222,0.021156353,0.054492978,0.070455441,0.040405163,0.050581555,0.065852211,0.06934033,0.024104581,0.1014126,0.072552256,0.067139542,0.107691736
Gluconic acid,C00257,-0.014356642,0.026890081,0.029050117,-0.021001257,0.023003701,0.041777333,0.03689227,0.060516938,0.085808428,0.049639404,0.093021808,0.033433763,0.059899736,0.112333139,0.121238324,0.07487055
myo-Inositol,C00137,-0.000325525,-0.004959955,0.014331661,-0.009135306,0.001159133,-0.063084791,-0.014557936,-0.049867569,-0.040301464,-0.076464375,0,-0.0445475,0.014663309,-0.019088294,0.002862097,0.054900437
4-Hydroxycinnamic acid,C00811,-0.289161881,0.010708716,-0.433984783,0.081787483,-0.008027561,-0.272879243,-0.294645036,-0.018578213,0.003265949,-0.244812006,-0.05098096,-0.003143408,-0.091486707,0.033095045,-0.032266085,-0.189863919
Indole-3-acetonitrile,C02938,-0.046289584,-0.053912691,-0.064525223,-0.061160672,-0.010223993,-0.017312496,-0.030004149,-0.070050219,-0.018007792,-0.028196813,-0.026707442,-0.061525865,0.107025205,0.07992212,0.01432641,0.081008931
Uric acid,C00366,0.035940263,0.107657253,-0.029883262,-0.020032162,0.033101344,-0.007222505,-0.016251197,0.053226203,-0.127197347,0.107386951,0.052963205,0.043712318,0.109427842,-0.055749286,-0.041960784,0.002855758
Putrescine,C00134,-0.207494665,-0.065327394,0.02294216,0.004528783,0.006074148,0.129821685,0.374098026,0.458258603,0.452657303,0.400139268,0.400446407,0.372550149,0.470345212,0.507562314,0.414359712,0.453099704
Spermidine,C00315,-0.022668986,-0.088554508,-0.141693113,-0.085896889,-0.095108896,-0.048724661,-0.120392648,-0.129579791,-0.03331116,-0.031613106,-0.064895097,-0.070254812,-0.024938606,0.055742631,0.012156973,-0.028000896
Starch,C00369,15.2497061005536,15.3736443203938,11.6928896469019,7.2453555360766,12.9944449479843,13.0820232047621,16.4948610284549,19.638339363724,14.7614938733583,13.7576228696152,14.6293379407364,17.7960782893485,25.8531197290673,29.6869966285254,18.732286571086,22.3665416312634
Maltose,C00208,-0.79249354,1.074427158,1.15101334,0.421800007,-0.173614071,0.007740801,0.37036288,0.55232695,1.05984524,1.296900475,0.020507391,-0.314407652,-0.148111577,-0.044610071,0.866757866,-0.057753909
Xylose,C00181,0.039696598,0.005906008,-0.021936324,-0.029360178,0.015235057,-0.008808466,0.044168705,0.04025528,0.01994826,0.036440161,0.10432793,0.052416465,0.086311599,0.083084748,0.108647818,0.079706176
Fucose,C01019,-0.034152114,-0.060043965,-0.032804909,0.007070211,0.023888179,-0.001916515,0.048662296,0.0411091,-0.004655818,0.010897694,0.098193168,0.050719361,0.074533146,0.10184539,0.086028702,0.1331071
Fructose,C00095,0.335889323746193,0.554752983652096,1.08388532914494,1.10220760538224,2.67761773844911,3.64439263339362,4.97175433166384,7.42054724331674,6.45032054531696,8.12362386020515,12.8482899725709,8.22478892774379,5.81424632096363,8.65248446539449,9.22119673918,6.2612899755182
Glucose,C00031,0.926725223986906,1.35039650808599,2.1045269967452,2.2570980229663,4.80050816176409,6.69824245108317,9.70111948145007,13.3181114907139,12.7906491430315,17.0254452910103,19.4429915154243,18.3850841192343,17.430101803872,15.4490670392957,22.0945340226263,16.1301311016086
Trehalose,C01083,-0.071995764,-0.047732129,0.01906623,-0.02234089,-0.064644619,-0.037898757,0.12106067,0.043969207,0.131611398,0.303938772,0.089910687,0.047338451,0.164809044,0.198996593,0.280782885,0.197682993
Galactinol,C01235,0.002240971,-0.072097033,-0.159238393,-0.121312628,0.067600746,0.285964937,0.557775757,0.597722194,0.583203982,0.605981383,0.667888173,0.648119154,0.708287082,0.717445877,0.722253038,0.829211779
Raffinose,C00492,0.251291968,-0.131648397,0.162786408,-0.452890812,0.144898629,0.288386993,0.521316244,0.393157616,0.548995993,0.696054104,0.841949456,0.87302179,0.977596161,0.916130379,1.068108545,1.064072067